ID,Stellar_Wallet_Address,Campaign_ID,Donated_Amount_XLM,Transaction_Hash,StellarExpert_Tx_URL,StellarExpert_Account_URL
11,GBRHNB3DK3CQ7NOKMRC5ZJXE6FWG5EB6YN66PWSZNY7GUTAYTAAK5GKR,4,168.5,ef565990b76e405c79ce967afe205a6d869a6544a6dee6cb33c55c09ac3eb40e,https://stellar.expert/explorer/testnet/tx/ef565990b76e405c79ce967afe205a6d869a6544a6dee6cb33c55c09ac3eb40e,https://stellar.expert/explorer/testnet/account/GBRHNB3DK3CQ7NOKMRC5ZJXE6FWG5EB6YN66PWSZNY7GUTAYTAAK5GKR
12,GBDDT5SHVOVLDRRER2TEDDWKZCJZHP3DJUGX2FCJOQTVM5MQJ54MZBT4,1,147.5,b38aaf660c3c789ccdb3f47c95b1b912d2ad987d230f49dbb8caf0b42fb32390,https://stellar.expert/explorer/testnet/tx/b38aaf660c3c789ccdb3f47c95b1b912d2ad987d230f49dbb8caf0b42fb32390,https://stellar.expert/explorer/testnet/account/GBDDT5SHVOVLDRRER2TEDDWKZCJZHP3DJUGX2FCJOQTVM5MQJ54MZBT4
13,GDBBETTVNXCSNR4AJ6CZXPHUGDQUGPMCG576QICHNXOHT2BN5G5OTMUE,2,138.5,77a2392bc58649562412d57244f8b71cc755d6e8a3c7077077e1018cad4938fd,https://stellar.expert/explorer/testnet/tx/77a2392bc58649562412d57244f8b71cc755d6e8a3c7077077e1018cad4938fd,https://stellar.expert/explorer/testnet/account/GDBBETTVNXCSNR4AJ6CZXPHUGDQUGPMCG576QICHNXOHT2BN5G5OTMUE
14,GC2XM6U2SDRUOGTU6GT77F7RZ6SRDL4AN7H5WBDYFYYKMKWSJJ6KHTXD,3,226,0d2beb8147c79812a7b4bc1321d2fcc84a7df7d9f1c98c45836447baadbd9d96,https://stellar.expert/explorer/testnet/tx/0d2beb8147c79812a7b4bc1321d2fcc84a7df7d9f1c98c45836447baadbd9d96,https://stellar.expert/explorer/testnet/account/GC2XM6U2SDRUOGTU6GT77F7RZ6SRDL4AN7H5WBDYFYYKMKWSJJ6KHTXD
15,GDYTEZLJHIRCKK3NAMJNEFO6ZDATNJY2H2NS5SE25OUMDNLZMFQ2FL46,4,49,538e3319255830af2903c7ebaddd80e98e1b6682d9e7847cca58a0ff49ac20e3,https://stellar.expert/explorer/testnet/tx/538e3319255830af2903c7ebaddd80e98e1b6682d9e7847cca58a0ff49ac20e3,https://stellar.expert/explorer/testnet/account/GDYTEZLJHIRCKK3NAMJNEFO6ZDATNJY2H2NS5SE25OUMDNLZMFQ2FL46
16,GCMLT3JUZF7CRGJA7PRBPQVD6C22RCBGIC7ZL3EFP2ERR7EPGCZAIXH2,1,178.5,bb7c4c7b9ed208963f71e3cd478ac02bfc93dba9b58aefe290c63d2a50ba2799,https://stellar.expert/explorer/testnet/tx/bb7c4c7b9ed208963f71e3cd478ac02bfc93dba9b58aefe290c63d2a50ba2799,https://stellar.expert/explorer/testnet/account/GCMLT3JUZF7CRGJA7PRBPQVD6C22RCBGIC7ZL3EFP2ERR7EPGCZAIXH2
17,GDVREPJRSN3GGADDJKZK23LHRLKMANHT2TZ4UKSZBADEBXF4XQQ6SAEZ,2,48.5,eac667902710fc1f1f78f700c95230f35565c8822344a5f68f02a87282607e8e,https://stellar.expert/explorer/testnet/tx/eac667902710fc1f1f78f700c95230f35565c8822344a5f68f02a87282607e8e,https://stellar.expert/explorer/testnet/account/GDVREPJRSN3GGADDJKZK23LHRLKMANHT2TZ4UKSZBADEBXF4XQQ6SAEZ
18,GC5RZWA2PDD6427SAG4KQ6ESYHEKERZQJRA26INHJWGX37ADVEG2OXNP,3,91,25ec70682e34e0642fafbbd9cbb565bda832c4a9fd35b1d47d859410f717fa23,https://stellar.expert/explorer/testnet/tx/25ec70682e34e0642fafbbd9cbb565bda832c4a9fd35b1d47d859410f717fa23,https://stellar.expert/explorer/testnet/account/GC5RZWA2PDD6427SAG4KQ6ESYHEKERZQJRA26INHJWGX37ADVEG2OXNP
19,GAEAGQWZ4ZPXYPYJJGXQKMRJSFVHKDXIGTY6PSYC3LSRTVRGKYPPQ7UH,4,280,95d8036cdfaa8677e0145a43de241a4f75ad9f792532dbf9f220bab4470ec4d2,https://stellar.expert/explorer/testnet/tx/95d8036cdfaa8677e0145a43de241a4f75ad9f792532dbf9f220bab4470ec4d2,https://stellar.expert/explorer/testnet/account/GAEAGQWZ4ZPXYPYJJGXQKMRJSFVHKDXIGTY6PSYC3LSRTVRGKYPPQ7UH
20,GAVL46TDADDU64NYHGPNDJZIFBZ3JRDP3CWQWTSVAL6WDVHUS5X2FNRR,1,212,ea3cf8d15c232a4c69f87fb95bbcb980554913687e8e2ecb37a4a96f6de2e6e4,https://stellar.expert/explorer/testnet/tx/ea3cf8d15c232a4c69f87fb95bbcb980554913687e8e2ecb37a4a96f6de2e6e4,https://stellar.expert/explorer/testnet/account/GAVL46TDADDU64NYHGPNDJZIFBZ3JRDP3CWQWTSVAL6WDVHUS5X2FNRR
21,GBNZGS4H2ZP25U4PD7AUMDHORIMDHRGRMO5IZX3RY6Z6L7OQY7L3IODF,2,130.5,e124a9fb5a4f8438637a8d6c8fb70d51fff8661f742fce3fa5b273074b26343b,https://stellar.expert/explorer/testnet/tx/e124a9fb5a4f8438637a8d6c8fb70d51fff8661f742fce3fa5b273074b26343b,https://stellar.expert/explorer/testnet/account/GBNZGS4H2ZP25U4PD7AUMDHORIMDHRGRMO5IZX3RY6Z6L7OQY7L3IODF
22,GD7VNMOVYOI2ZZSFWDQITAD3SZCBNPLC2V4JIXYAVLENJV34KQMGPQQE,3,112,ad1836b8f9b4f9632ddb6734d21a12c67471f92ae3b5eda0e69f2bc8336d92e6,https://stellar.expert/explorer/testnet/tx/ad1836b8f9b4f9632ddb6734d21a12c67471f92ae3b5eda0e69f2bc8336d92e6,https://stellar.expert/explorer/testnet/account/GD7VNMOVYOI2ZZSFWDQITAD3SZCBNPLC2V4JIXYAVLENJV34KQMGPQQE
23,GBHD27RBRM4CBGPQOTVPQ4VHYYEG73FQ2RY5C7V2QBQ2H7GO7GEGBLYW,4,310.5,b0e443c1d8e75f1637e44094bb928e00d0afddede9b4c8d2cee7ff4c90b5e304,https://stellar.expert/explorer/testnet/tx/b0e443c1d8e75f1637e44094bb928e00d0afddede9b4c8d2cee7ff4c90b5e304,https://stellar.expert/explorer/testnet/account/GBHD27RBRM4CBGPQOTVPQ4VHYYEG73FQ2RY5C7V2QBQ2H7GO7GEGBLYW
24,GBSG3SO7EY3FZ24O635MQGSAOLNCLK6MFCXWI7EYS3LZIGBVB7LILHDR,1,253.5,1eec4c50520b613a9a82771cd5a2bf5cf235ef22f73f77ac47fa1eb3967be4e6,https://stellar.expert/explorer/testnet/tx/1eec4c50520b613a9a82771cd5a2bf5cf235ef22f73f77ac47fa1eb3967be4e6,https://stellar.expert/explorer/testnet/account/GBSG3SO7EY3FZ24O635MQGSAOLNCLK6MFCXWI7EYS3LZIGBVB7LILHDR
25,GAAQWCRLBD2LLQYYBQHLWV3BXRG7J5IPM72EHZ7EH3Q4AL5JIXH3M6I6,2,174,357fb3e17691ac766b2bb28df9815fd8fc58976b4d24ecffd2cea3ab8a6f44c0,https://stellar.expert/explorer/testnet/tx/357fb3e17691ac766b2bb28df9815fd8fc58976b4d24ecffd2cea3ab8a6f44c0,https://stellar.expert/explorer/testnet/account/GAAQWCRLBD2LLQYYBQHLWV3BXRG7J5IPM72EHZ7EH3Q4AL5JIXH3M6I6
26,GCJUTGWGZTWUIHUSUMS7CEXADVHEAX3MPEFR2P6FNENCWV6LNISXGB5Y,3,157.5,fd057fa1b1c46132237cf79d7417cd61ec12039d5dcd172c11e6b69c84b03877,https://stellar.expert/explorer/testnet/tx/fd057fa1b1c46132237cf79d7417cd61ec12039d5dcd172c11e6b69c84b03877,https://stellar.expert/explorer/testnet/account/GCJUTGWGZTWUIHUSUMS7CEXADVHEAX3MPEFR2P6FNENCWV6LNISXGB5Y
27,GBGEBIQW22NW3XNNFI5ZPKX4ZDXNUKTLSIT2XSE5T6DGELUYQTH4VUOA,4,146,5136a22d3596f4b9476cf0fdef7a31193290daaf3379f7854a691d7be0af6188,https://stellar.expert/explorer/testnet/tx/5136a22d3596f4b9476cf0fdef7a31193290daaf3379f7854a691d7be0af6188,https://stellar.expert/explorer/testnet/account/GBGEBIQW22NW3XNNFI5ZPKX4ZDXNUKTLSIT2XSE5T6DGELUYQTH4VUOA
28,GBIZETWSZCCQCWIKSLIPI75ZBB3DYNNWUMIKREDYFNQEBCJB7AL7PWCF,1,324,751ec14c3079c81bc901afd896ce51b6b71e9f1e4e421fa085b0f43be00593e8,https://stellar.expert/explorer/testnet/tx/751ec14c3079c81bc901afd896ce51b6b71e9f1e4e421fa085b0f43be00593e8,https://stellar.expert/explorer/testnet/account/GBIZETWSZCCQCWIKSLIPI75ZBB3DYNNWUMIKREDYFNQEBCJB7AL7PWCF
29,GCEVI2QEGVFSNQ7IBNMAV5IISPJMXG7YX44MU7VUNTJSTD3ELXGYC2DI,2,284,89e6dbf3eb9093a329054ea7b26e0ebc3128be249750fd75666490a9d7f8f86b,https://stellar.expert/explorer/testnet/tx/89e6dbf3eb9093a329054ea7b26e0ebc3128be249750fd75666490a9d7f8f86b,https://stellar.expert/explorer/testnet/account/GCEVI2QEGVFSNQ7IBNMAV5IISPJMXG7YX44MU7VUNTJSTD3ELXGYC2DI
30,GDQVIKGJK3OCP6ELUK625CYRTQKWWDCMCIHVB4GQSRZORI5SDY3NRSD4,3,250,af145dbf2cf1aa5a3b1d23ff89ee5bc79a2e495eb79991ad258c5801b03379d9,https://stellar.expert/explorer/testnet/tx/af145dbf2cf1aa5a3b1d23ff89ee5bc79a2e495eb79991ad258c5801b03379d9,https://stellar.expert/explorer/testnet/account/GDQVIKGJK3OCP6ELUK625CYRTQKWWDCMCIHVB4GQSRZORI5SDY3NRSD4
31,GAE6CVG2C2DN4SQR6HMGJWC2IB6CXUUHGC2P3DDQ7FHERR7ODOX5XLAH,4,294,c56109e52b84917a95892c091d037e876b679fa85f39ff56ad19b4ca1ba6806b,https://stellar.expert/explorer/testnet/tx/c56109e52b84917a95892c091d037e876b679fa85f39ff56ad19b4ca1ba6806b,https://stellar.expert/explorer/testnet/account/GAE6CVG2C2DN4SQR6HMGJWC2IB6CXUUHGC2P3DDQ7FHERR7ODOX5XLAH
32,GAYGXFAGWHQVRYDRV6C73HWBFN4D4NU47FAJLUIWYHBO7UDJNQGUQPSY,1,253,970cec5f5ae91e80ba1209fba4515ab285f36872ab155bca7d80e91c63cef486,https://stellar.expert/explorer/testnet/tx/970cec5f5ae91e80ba1209fba4515ab285f36872ab155bca7d80e91c63cef486,https://stellar.expert/explorer/testnet/account/GAYGXFAGWHQVRYDRV6C73HWBFN4D4NU47FAJLUIWYHBO7UDJNQGUQPSY
33,GBFDPXG27HXINURFLNJMDDTBJ3XKZZE436AVJ6AJVHZQAZHYH56SEDWD,2,311.5,5a629aa4953d41e9b89e6908303b1227cb7d3548699ccc540db78e8ba64efa75,https://stellar.expert/explorer/testnet/tx/5a629aa4953d41e9b89e6908303b1227cb7d3548699ccc540db78e8ba64efa75,https://stellar.expert/explorer/testnet/account/GBFDPXG27HXINURFLNJMDDTBJ3XKZZE436AVJ6AJVHZQAZHYH56SEDWD
34,GDEJ5TGZ7QCI3D7FQI3MRW4FWQGF6A3RQ34QIPFXUQ2GSM4WU5RJJUTC,3,317.5,d8b25f3d365ca00a4180ca182d3ca86ad793857b72def6fc9fe380f724a1ac44,https://stellar.expert/explorer/testnet/tx/d8b25f3d365ca00a4180ca182d3ca86ad793857b72def6fc9fe380f724a1ac44,https://stellar.expert/explorer/testnet/account/GDEJ5TGZ7QCI3D7FQI3MRW4FWQGF6A3RQ34QIPFXUQ2GSM4WU5RJJUTC
35,GA2L5L2QRPAL25A4YC6UEEOCB3VDEOYYM2WVPTFAYZ5F7D6HH326UBUQ,4,315,c31610ca2edb8ee9e405ebb2ecd431dea994b593bf817d0dfdb2b3c7e862ee2b,https://stellar.expert/explorer/testnet/tx/c31610ca2edb8ee9e405ebb2ecd431dea994b593bf817d0dfdb2b3c7e862ee2b,https://stellar.expert/explorer/testnet/account/GA2L5L2QRPAL25A4YC6UEEOCB3VDEOYYM2WVPTFAYZ5F7D6HH326UBUQ
36,GAMKB5ECHBQHQ5LXBGAVQZ253IOOJDAELF3JEWWRHNSV5ESA5DK3HHNV,1,299.5,ed1bd82503d3b60db60abc1042fde414246985004b4a6aade6f46cba29fd8091,https://stellar.expert/explorer/testnet/tx/ed1bd82503d3b60db60abc1042fde414246985004b4a6aade6f46cba29fd8091,https://stellar.expert/explorer/testnet/account/GAMKB5ECHBQHQ5LXBGAVQZ253IOOJDAELF3JEWWRHNSV5ESA5DK3HHNV
37,GBZE5XZJI45JGVAL644NCAOZIZK6LUEGTUOWMLUXJRL6KB5LVX4SHRR5,2,145.5,15a760005a2b19a25e299c68dc1b4c85f99158e8f1091e45f6dcc924b7169a8f,https://stellar.expert/explorer/testnet/tx/15a760005a2b19a25e299c68dc1b4c85f99158e8f1091e45f6dcc924b7169a8f,https://stellar.expert/explorer/testnet/account/GBZE5XZJI45JGVAL644NCAOZIZK6LUEGTUOWMLUXJRL6KB5LVX4SHRR5
38,GCKWMVZXZQL77YUJWMQPLINNJ4SSJZRMIQCL42CFG74XYD75QQQPJKBB,3,121,22f8f06d17d17222ff42148129f8962b1998959591b069ace18f1b082260db40,https://stellar.expert/explorer/testnet/tx/22f8f06d17d17222ff42148129f8962b1998959591b069ace18f1b082260db40,https://stellar.expert/explorer/testnet/account/GCKWMVZXZQL77YUJWMQPLINNJ4SSJZRMIQCL42CFG74XYD75QQQPJKBB
39,GDLKJMKG3CK3RJQB7VHR23HMUYJ4KGSKDPG56XXNRPVOZZCPMMRVY3CD,4,263,55e94f4ffca97d6cbee5c37c5af043250003f56fe7539610bcb3dc719986ffdf,https://stellar.expert/explorer/testnet/tx/55e94f4ffca97d6cbee5c37c5af043250003f56fe7539610bcb3dc719986ffdf,https://stellar.expert/explorer/testnet/account/GDLKJMKG3CK3RJQB7VHR23HMUYJ4KGSKDPG56XXNRPVOZZCPMMRVY3CD
40,GDPBNT7VPCP63CIC3QTX7IRFXRCCBRQRQAGBEDHNPYDEDP6CK5QMWOCX,1,109,bb967c49e2195ac4837520c81a3656c81d200f2b73e2fc9615b200f470e12ac7,https://stellar.expert/explorer/testnet/tx/bb967c49e2195ac4837520c81a3656c81d200f2b73e2fc9615b200f470e12ac7,https://stellar.expert/explorer/testnet/account/GDPBNT7VPCP63CIC3QTX7IRFXRCCBRQRQAGBEDHNPYDEDP6CK5QMWOCX
41,GDJEXBUP7YMSKDLPUIDRWCDATUHZJND7RFZHCC3CAH4YLADQIZNMYV5B,2,26,0ec1517ccb4993ce1d6714116f73084b92646df52e8d0e379acab7316998e64c,https://stellar.expert/explorer/testnet/tx/0ec1517ccb4993ce1d6714116f73084b92646df52e8d0e379acab7316998e64c,https://stellar.expert/explorer/testnet/account/GDJEXBUP7YMSKDLPUIDRWCDATUHZJND7RFZHCC3CAH4YLADQIZNMYV5B
42,GCKGGSA7U66ISLVZD7NI6XHJ66DPCE2VJ6S5YGL6WWCH2A6AZMEAEVCB,3,113.5,868ec24f6bbb05b53583dc554d5d28a026408117e109972271facb742746806c,https://stellar.expert/explorer/testnet/tx/868ec24f6bbb05b53583dc554d5d28a026408117e109972271facb742746806c,https://stellar.expert/explorer/testnet/account/GCKGGSA7U66ISLVZD7NI6XHJ66DPCE2VJ6S5YGL6WWCH2A6AZMEAEVCB
43,GC66V5WWNWLHUH424LINLNUFMVMESKRQS5FUFCDS67P3IUVZWFGN3OGD,4,345.5,a26ec25e0fe271563dfaf438d77296134c49dc8eb1442befb5bf89e28d256005,https://stellar.expert/explorer/testnet/tx/a26ec25e0fe271563dfaf438d77296134c49dc8eb1442befb5bf89e28d256005,https://stellar.expert/explorer/testnet/account/GC66V5WWNWLHUH424LINLNUFMVMESKRQS5FUFCDS67P3IUVZWFGN3OGD
44,GBIEAKSQB7KN5MAU2GQJGH4SPMYYJCHHLIH4UWSREQMQDMZSHYJEUOM5,1,223,f3256687ce5fc05bf96e4a9e5cd66866acc202504ac078f3137a806dcdf9a626,https://stellar.expert/explorer/testnet/tx/f3256687ce5fc05bf96e4a9e5cd66866acc202504ac078f3137a806dcdf9a626,https://stellar.expert/explorer/testnet/account/GBIEAKSQB7KN5MAU2GQJGH4SPMYYJCHHLIH4UWSREQMQDMZSHYJEUOM5
45,GBSOMPKGIGLPH2GXP5YEHV6ZZGIW7FIS2FEMDMV6YINGFKFNG2RVKYSV,2,302.5,e7b595124240fbd970c2e58427838bd236d7295bb7620ac68bbdd5370c2ab6d9,https://stellar.expert/explorer/testnet/tx/e7b595124240fbd970c2e58427838bd236d7295bb7620ac68bbdd5370c2ab6d9,https://stellar.expert/explorer/testnet/account/GBSOMPKGIGLPH2GXP5YEHV6ZZGIW7FIS2FEMDMV6YINGFKFNG2RVKYSV
46,GALDFHS4L4WDY53GVRPVBNHCQOMYKDWU5OITR5PYSDYQTZTZWEFIMHSZ,3,124,91c83acbbf58f4f2260ef7dd13567da9bea537a2d77bd0d07f0937d7a716506f,https://stellar.expert/explorer/testnet/tx/91c83acbbf58f4f2260ef7dd13567da9bea537a2d77bd0d07f0937d7a716506f,https://stellar.expert/explorer/testnet/account/GALDFHS4L4WDY53GVRPVBNHCQOMYKDWU5OITR5PYSDYQTZTZWEFIMHSZ
47,GBW3MRHH3YQ3QLBSHCEDTZQSSAW3FR6DV2KPRGBUOS2YEZDHNK5GRKIH,4,105,50d012354f317ee1dd87c99ccd19886db60ea325fa8a0c7b7c4aec94e576fe14,https://stellar.expert/explorer/testnet/tx/50d012354f317ee1dd87c99ccd19886db60ea325fa8a0c7b7c4aec94e576fe14,https://stellar.expert/explorer/testnet/account/GBW3MRHH3YQ3QLBSHCEDTZQSSAW3FR6DV2KPRGBUOS2YEZDHNK5GRKIH
48,GD4GFOFKT6CH4UJEACCN3DDYXUF2JSJUUMQH4HVJ64ZSJKFDMVKZN22C,1,147.5,a479669d400f147658d4b9414f645a18ad090cd0ba23085f84d978ed1735a4c5,https://stellar.expert/explorer/testnet/tx/a479669d400f147658d4b9414f645a18ad090cd0ba23085f84d978ed1735a4c5,https://stellar.expert/explorer/testnet/account/GD4GFOFKT6CH4UJEACCN3DDYXUF2JSJUUMQH4HVJ64ZSJKFDMVKZN22C
49,GCOEAG7WOGSQ6S6JGAO3JZPNGKLHQAS5Y7CGMKAY2YGROG7NPQXBPRAN,2,259,9c6fef672679b36c878f82eb1d51389b36019d7c768b16129c0378a08d4625c3,https://stellar.expert/explorer/testnet/tx/9c6fef672679b36c878f82eb1d51389b36019d7c768b16129c0378a08d4625c3,https://stellar.expert/explorer/testnet/account/GCOEAG7WOGSQ6S6JGAO3JZPNGKLHQAS5Y7CGMKAY2YGROG7NPQXBPRAN
50,GDXIOQNHJIJ3PTY6WZ4AF7WRI24U6LLERO5O3SH2XG2WBRIREI5SPWW5,3,120,fab6e4dab4effa25d032d1086b5673b158fb567a2578d296c723a3a3b7f8bd4d,https://stellar.expert/explorer/testnet/tx/fab6e4dab4effa25d032d1086b5673b158fb567a2578d296c723a3a3b7f8bd4d,https://stellar.expert/explorer/testnet/account/GDXIOQNHJIJ3PTY6WZ4AF7WRI24U6LLERO5O3SH2XG2WBRIREI5SPWW5
51,GBA3QUZGXQANHRSHAKLBBG2KY3SWO44F7QVID7XQ2IKPJMHX6DRCUOM3,4,341.5,92b896a5ed98c83c263d559952aa44274a74d45fc8a22f5706a423e3b4c2b69f,https://stellar.expert/explorer/testnet/tx/92b896a5ed98c83c263d559952aa44274a74d45fc8a22f5706a423e3b4c2b69f,https://stellar.expert/explorer/testnet/account/GBA3QUZGXQANHRSHAKLBBG2KY3SWO44F7QVID7XQ2IKPJMHX6DRCUOM3
52,GD6HY2ZWLZ4TKYG7S3TKD42VPIJA4IDKZP6ZXE3JI3C52ABUFBZBS2WP,1,260.5,8c42c89e6692de51840e0fb2065a9d39bf8dcd4c908ef2466ad1a928f247b668,https://stellar.expert/explorer/testnet/tx/8c42c89e6692de51840e0fb2065a9d39bf8dcd4c908ef2466ad1a928f247b668,https://stellar.expert/explorer/testnet/account/GD6HY2ZWLZ4TKYG7S3TKD42VPIJA4IDKZP6ZXE3JI3C52ABUFBZBS2WP
53,GA4F23G5RTPDKQGRL5UGMOJJRIBVRSSTFHPX7GXW46Z3PXUR5YJAAAHM,2,193.5,86ded11e68ca9ee3185e98d7d24bd56f56c5f8648c49147a428423c6bf850b39,https://stellar.expert/explorer/testnet/tx/86ded11e68ca9ee3185e98d7d24bd56f56c5f8648c49147a428423c6bf850b39,https://stellar.expert/explorer/testnet/account/GA4F23G5RTPDKQGRL5UGMOJJRIBVRSSTFHPX7GXW46Z3PXUR5YJAAAHM
54,GDPETVIL4S4775OZVYR4IE4PUAYAQTLMYUC6GVOITF5KAO3MI3BVHFVR,3,126,48344f0eb8ce74fa055a1cc8ece8aeff12fa1cc0c47623a93cdb93a25c5e5d4b,https://stellar.expert/explorer/testnet/tx/48344f0eb8ce74fa055a1cc8ece8aeff12fa1cc0c47623a93cdb93a25c5e5d4b,https://stellar.expert/explorer/testnet/account/GDPETVIL4S4775OZVYR4IE4PUAYAQTLMYUC6GVOITF5KAO3MI3BVHFVR
55,GDW6LE5YAEJMVNHNZL3CVXEKO256XKUQDXL35S74FZZLFXTJM6XA463J,4,268.5,198a32dcc27dc25926e4fba0c772d8701de83612b6b1d12b3c26ee2bae29c0fd,https://stellar.expert/explorer/testnet/tx/198a32dcc27dc25926e4fba0c772d8701de83612b6b1d12b3c26ee2bae29c0fd,https://stellar.expert/explorer/testnet/account/GDW6LE5YAEJMVNHNZL3CVXEKO256XKUQDXL35S74FZZLFXTJM6XA463J
56,GDMMCOKGDLIM3F36L6YBF6V2PG4KAM6TSFUZGSJXRDXUQJ5R7Q2NGLBD,1,73,397d9693d654de22470c8aedfe03a1380003c0d2c7ed658980dc6ee8bcb3e640,https://stellar.expert/explorer/testnet/tx/397d9693d654de22470c8aedfe03a1380003c0d2c7ed658980dc6ee8bcb3e640,https://stellar.expert/explorer/testnet/account/GDMMCOKGDLIM3F36L6YBF6V2PG4KAM6TSFUZGSJXRDXUQJ5R7Q2NGLBD
